conference,title,writer,year,citations,url,paper ID,snippet
Meeting of the Association for Computational Linguistics (ACL),Composing_measures_for_computing_text_similarity,"D Bär, T Zesch, I Gurevych - 2015 - tuprints.ulb.tu-darmstadt.de",2015,10,https://tuprints.ulb.tu-darmstadt.de/id/eprint/4342,17439949338139724230,"Text reuse is the process of creating new documents using existing ones. Among the different types of text reuse, plagiarism (the unacknowledged reuse of text) is a widespread problem. Easy access to online information has made it easier to plagiarise and in recent …"
Meeting of the Association for Computational Linguistics (ACL),Mono-lingual_paraphrased_text_reuse_and_plagiarism_detection,RMA Nawab - 2012 - etheses.whiterose.ac.uk,2012,11,"http://etheses.whiterose.ac.uk/2785/2/Nawab,_R.pdf",14754031132270058705,"We consider the problem of automatically paraphrasing a text in order to find an equivalent text that contains a given acrostic. A text contains an acrostic, if the first letters of a range of consecutive lines form a word or phrase. Our approach turns this paraphrasing task into an …"
Meeting of the Association for Computational Linguistics (ACL),Generating_acrostics_via_paraphrasing_and_heuristic_search,"B Stein, M Hagen, C Bräutigam",2014,8,https://www.aclweb.org/anthology/C14-1190.pdf,3641906837974286727,"The increasing number of process models in an organization has led to the development of process model repositories, which allow to efficiently and effectively manage these large number of models. Searching process models is an inherent feature of such process …"
Meeting of the Association for Computational Linguistics (ACL),A_textual_description_based_approach_to_process_matching,"M Rana, K Shahzad, RMA Nawab, H Leopold…",2016,9,https://link.springer.com/chapter/10.1007/978-3-319-48393-1_14,8831260937022081874,"Text reuse in early Chinese transmitted texts is extensive and widespread, often reflecting complex textual histories involving repeated transcription, compilation, and editing spanning many centuries and involving the work of multiple authors and editors. In this study, a fully …"
Meeting of the Association for Computational Linguistics (ACL),Unsupervised_identification_of_text_reuse_in_early_Chinese_literature,D Sturgeon,2018,11,https://academic.oup.com/dsh/article-abstract/33/3/670/4583485,6907331185566589045,"The aim of this experiment is to present an easy way to compare fragments of texts in order to detect (supposed) results of copy and paste operations between articles in the domain of Natural Language Processing (NLP), including Speech Processing. The search space of the …"
Meeting of the Association for Computational Linguistics (ACL),Reuse_and_plagiarism_in_Speech_and_Natural_Language_Processing_publications,"J Mariani, G Francopoulo, P Paroubek",2018,8,https://link.springer.com/article/10.1007/s00799-017-0211-0,9137477655448924919,"Text reuse detection aims to identify duplicates, reformulations or partial rewrites of a given text. Some previous research has focused on determining text reuse instances accurately on local corpora. However, the practical usage of finding text reuse on the web has remained …"
Meeting of the Association for Computational Linguistics (ACL),Evaluating_text_reuse_discovery_on_the_web,"S Chiu, I Uysal, WB Croft",2010,11,https://dl.acm.org/doi/abs/10.1145/1840784.1840829,14954560393175531636,ABSTRACT A corpus is a collection of documents. It is a valuable resource in linguistics research to perform statistical analysis and testing hypothesis for different linguistic rules. An annotated corpus consists of documents or entities annotated with some task related labels …
Meeting of the Association for Computational Linguistics (ACL),Developing_an_Arabic_plagiarism_detection_corpus,"MA Siddiqui, IH Khan, KM Jambi…",2014,9,https://www.researchgate.net/profile/Muazzam_Siddiqui/publication/276264770_Developing_an_Arabic_Plagiarism_Detection_Corpus/links/558939a608ae273b2875bdab/Developing-an-Arabic-Plagiarism-Detection-Corpus.pdf,10725366683367562165,"In this we paper present Tint 2.0, an open-source, fast and extendable Natural Language Processing suite for Italian based on Stanford CoreNLP. The new release includes some improvements of the existing NLP modules, and a set of new text processing components for …"
Meeting of the Association for Computational Linguistics (ACL),Tint_2.0:_an_All-inclusive_Suite_for_NLP_in_Italian,"E Cabrio, A Mazzei, F Tamburini",2018,15,https://core.ac.uk/download/pdf/213589651.pdf,11850723930763509775,"Text reuse is commonplace in academia and the media. An efficient algorithm for automatically detecting and measuring similar/related texts would have applications in corpus linguistics, historical studies and natural language engineering. In an effort to explore …"
Meeting of the Association for Computational Linguistics (ACL),A_tool_for_text_comparison,"SSL Piao, T McEnery",2003,7,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.105.4386&rep=rep1&type=pdf,16365596043573327977,"Yorick Wilks has been involved in Machine Translation (MT) throughout his career. He chose the task of MT as the ultimate test of understanding for his early work on Preference Semantics (Wilks 1973a, b; 1975a, b), a model of language processing; in the late 1970s he …"
