conference,title,writer,year,citations,url,paper ID,snippet
VLDB,Database_architecture_optimized_for_the_new_bottleneck:_Memory_access,"PA Boncz, S Manegold, ML Kersten",1999,491,http://www.cs.cmu.edu/~natassa/courses/15-823/syllabus/papers/boncz99database.pdf,1779171342376060467,"In the past decade, advances in speed of commodity CPUs have far out-paced advances in memory latency. Main-memory access is therefore increasingly a performance bottleneck for many computer applications, including database systems. In this article, we use a simple …"
VLDB,Composite_event_specification_in_active_databases:_Model_&_implementation,"NH Gehani, HV Jagadish, O Shmueli",1992,534,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.108.2501&rep=rep1&type=pdf,6387381457190907737,"Active database systems require facilities to specify triggers that fire when specified events occur. We propose a language for specifying composite events as eveti expressions, formed using event operators and events (primitive or composite). An event expression maps an …"
VLDB,"An_efficient,_cost-driven_index_selection_tool_for_Microsoft_SQL_server","S Chaudhuri, VR Narasayya",1997,499,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.629.1804&rep=rep1&type=pdf,17964755600477780442,"In this paper we describe novel techniques that make it possible to build an industrial-strength tool for automating the choice of indexes in the physical design of a SQL database. The tool takes as input a workload of SQL queries, and suggests a set of suitable indexes …"
VLDB,Maximal_vector_computation_in_large_data_sets,"P Godfrey, R Shipley, J Gryz",2005,482,http://www.eecs.yorku.ca/research/techreports/2004/CS-2004-06.pdf,12424779558192453190,"Finding the maximals in a collection of vectors is relevant to many applications. The maximal set is related to the convex hull—and hence, linear optimization—and nearest neighbors. The maximal vector problem has resurfaced with the advent of skyline queries for relational …"
VLDB,Algorithms_for_materialized_view_design_in_data_warehousing_environment,"J Yang, K Karlapalem, Q Li",1997,487,https://www.researchgate.net/profile/Kamalakar_Karlapalem/publication/2598345_Algorithms_for_Materialized_View_Design_in_Data_Warehousing_Environment/links/00463515be6b973e41000000/Algorithms-for-Materialized-View-Design-in-Data-Warehousing-Environment.pdf,9047502979874951403,"Data warehouses may contain multiple views accessed by queries. When these views are related to each other and de ned over overlapping portions of the base data, it may be more e cient not to materialize all the views, but rather to materialize certain\shared"" portions of …"
VLDB,A_foundation_for_multi-dimensional_databases,"M Gyssens, LVS Lakshmanan",1997,469,https://www.researchgate.net/profile/Marc_Gyssens/publication/2314443_A_Foundation_for_Multi-Dimensional_Databases/links/02bfe50ed7a3726193000000/A-Foundation-for-Multi-Dimensional-Databases.pdf,10892449734188189405,"We present a multi-dimensional database model, which we believe can serve as a conceptual model for On-Line Analytical Processing (OLAP)-based applications. Apart from providing the functionalities necessary for OLAP-based applications, the main feature of the …"
VLDB,LEO-DB2's_learning_optimizer,"M Stillger, GM Lohman, V Markl, M Kandil",2001,437,http://www.vldb.org/conf/2001/P019.pdf,1098753575267767331,Most modern DBMS optimizers rely upon a cost model to choose the best query execution plan (QEP) for any given query. Cost estimates are heavily dependent upon the optimizer's estimates for the number of rows that will result at each step of the QEP for complex queries …
VLDB,Indexing_the_distance:_An_efficient_method_to_knn_processing,"C Yu, BC Ooi, KL Tan, HV Jagadish",2001,414,http://www.vldb.org/conf/2001/P421.pdf,6802497760838263642,"In this paper, we present an efficient method, called iDistance, for K-nearest neighbor (KNN) search in a high-dimensional space. iDistance partitions the data and selects a reference point for each partition. The data in each cluster are transformed into a single dimensional …"
VLDB,A_new_SQL-like_operator_for_mining_association_rules,"R Meo, G Psaila, S Ceri",1996,452,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.48.5095&rep=rep1&type=pdf,159745057928089897,"Data mining evolved as a collection of applicative problems and e cient solution algorithms relative to rather peculiar problems, all focused on the discovery of relevant information hidden in databases of huge dimensions. In particular, one of the most investigated topics is …"
VLDB,Improving_Data_Quality:_Consistency_and_Accuracy.,"G Cong, W Fan, F Geerts, X Jia, S Ma",2007,407,https://www.research.ed.ac.uk/portal/files/17886909/Cong_Fan_ET_AL_2007_Improving_Data_Quality_Consistency_and_Accuracy.pdf,10211669575881145299,"Two central criteria for data quality are consistency and accuracy. Inconsistencies and errors in a database often emerge as violations of integrity constraints. Given a dirty database D, one needs automated methods to make it consistent, ie, find a repair D′ that satisfies the …"
VLDB,Materialized_view_selection_for_multidimensional_datasets,"A Shukla, P Deshpande, JF Naughton",1998,403,http://www.vldb.org/conf/1998/p488.pdf,17997236781353917039,"To fulfill the requirement of fast interactive multidimensional data analysis, database systems precompute aggregate views on some subsets of dimensions and their corresponding hierarchies. However, the problem of what to precompute is difficult and intriguing. The …"
VLDB,The_theory_of_probabilistic_databases.,"R Cavallo, M Pittarelli",1987,392,http://vldb.org/conf/1987/P071.PDF,18428998826912104463,"ABS! l'RACT A theory of probabilistic databases is outlined. This theory is one component of an integrated approach to data-modelling that accomodates both probabilistic and relational data. In fact, many of the results presented here were developed in the context of a …"
VLDB,"Don't_be_lazy,_be_consistent:_Postgres-R,_a_new_way_to_implement_database_replication","B Kemme, G Alonso",2000,404,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.37.5&rep=rep1&type=pdf,16023399584297435589,"Database designers often point out that eager, update everywhere replication su ers from high deadlock rates, message overhead and poor response times. In this paper, we show that these limitations can be circumvented by using a combination of known and novel …"
VLDB,Extracting_large-scale_knowledge_bases_from_the_web,"R Kumar, P Raghavan, S Rajagopalan, A Tomkins",1999,397,http://vldb.org/conf/1999/P60.pdf,6903868523096370256,"The subject of this paper is the creation of knowledge bases by enumerating and organizing all web occurrences of certain subgraphs. We focus on subgraphs that are signatures of web phenomena such as tightly-focused topic communities, webrings, taxonomy trees, keiretsus …"
VLDB,Evaluating_top-k_selection_queries,"S Chaudhuri, L Gravano",1999,393,http://www-db.deis.unibo.it/courses/SI-LS/papers/CG99.pdf,5172987613491551932,"In many applications, users specify target values for certain attributes, without requiring exact matches to these values in return. Instead, the result to such queries is typically a rank of the “top k” tuples that best match the given attribute values. In this paper, we study the …"
VLDB,Indexing_multi-dimensional_uncertain_data_with_arbitrary_probability_density_functions,"Y Tao, R Cheng, X Xiao, WK Ngai, B Kao, S Prabhakar",2005,369,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.122.2301&rep=rep1&type=pdf,6329141319810652265,"In an “uncertain database”, an object o is associated with a multi-dimensional probability density function (pdf), which describes the likelihood that o appears at each position in the data space. A fundamental operation is the “probabilistic range search” which, given a value …"
VLDB,Answering_queries_with_aggregation_using_views,"D Srivastava, S Dar, HV Jagadish, AY Levy",1996,416,https://homes.cs.washington.edu/~alon/files/vldb96-agg.pdf,10008666722428623783,"We present novel algorithms for the problem of using materialized views to compute answers to SQL queries with grouping and aggregation, in the presence of multiset tables. In addition to its obvious potential in query optimization, this problem is important in many …"
VLDB,Sampling-based_estimation_of_the_number_of_distinct_values_of_an_attribute,"PJ Haas, JF Naughton, S Seshadri, L Stokes",1995,372,http://vldb.org/conf/1995/P311.PDF,13628882306051665362,"We provide several new sampling-based estimators of the number of distinct values of an attribute in a relation. We compare these new estimators to estimators from the database and statistical literature empirically, using a large number of attribute-value distributions …"
VLDB,Automatic_composition_of_transition-based_semantic_web_services_with_messaging,"D Berardi, D Calvanese, G De Giacomo, R Hull…",0051,355,https://www.dis.uniroma1.it/~degiacom/papers/2005/BCDHM_VLDB2005.pdf,18206360052661275664,"In this paper we present Colombo, a framework in which web services are characterized in terms of (i) the atomic processes (ie, operations) they can perform;(ii) their impact on the “real world”(modeled as a relational database);(iii) their transition-based behavior; and (iv) …"
